Code postal,Commune,Type local,Prix m2
01350,CEYZERIEU,Maison,2308.669871794872
01350,CRESSIN-ROCHEFORT,Maison,1870.3094777562862
01350,CULOZ,Appartement,1451.238738738739
01350,CULOZ,Maison,1818.8542227003768
01350,LAVOURS,Maison,1316.287878787879
01350,POLLIEU,Maison,1650.0
01360,BALAN,Maison,3418.884795111431
01360,BELIGNEUX,Maison,2844.2105263157896
01360,BRESSOLLES,Maison,3209.0163934426228
01360,LOYETTES,Appartement,2135.184182015168
01360,LOYETTES,Maison,2608.695652173913
01370,COURMANGOUX,Maison,1075.9493670886077
01370,MEILLONNAS,Maison,1954.0229885057472
01370,SAINT-ETIENNE-DU-BOIS,Appartement,1076.923076923077
01370,SAINT-ETIENNE-DU-BOIS,Maison,1808.7751188832644
01370,VAL-REVERMONT,Maison,1828.3653846153843
01380,BAGE-DOMMARTIN,Maison,1886.3636363636365
01380,BAGE-LE-CHATEL,Maison,1978.4589460784314
01380,SAINT-ANDRE-DE-BAGE,Maison,2080.19801980198
01380,SAINT-CYR-SUR-MENTHON,Maison,1989.9193548387093
01380,SAINT-GENIS-SUR-MENTHON,Maison,1371.804964539007
01390,CIVRIEUX,Maison,3421.1272222922707
01390,MIONNAY,Appartement,3387.058823529412
01390,MIONNAY,Maison,2308.333333333333
01390,MONTHIEUX,Maison,2176.6194331983806
01390,RANCE,Maison,2739.25844988345
01390,SAINT-ANDRE-DE-CORCY,Appartement,3058.974358974359
01390,SAINT-ANDRE-DE-CORCY,Maison,2663.8757183908046
01390,SAINT-JEAN-DE-THURIGNEUX,Appartement,2659.4202898550725
01390,SAINT-JEAN-DE-THURIGNEUX,Maison,1513.3333333333335
01390,SAINT-MARCEL-EN-DOMBES,Appartement,3107.142857142857
01390,SAINT-MARCEL-EN-DOMBES,Maison,2476.3888888888887
01390,TRAMOYES,Maison,3358.4745762711864
01400,CHANOZ-CHATENAY,Maison,1936.9646739130435
01400,CHATILLON-SUR-CHALARONNE,Appartement,1963.235294117647
01400,CHATILLON-SUR-CHALARONNE,Maison,2000.0
01400,CONDEISSIAT,Maison,1157.142857142857
01400,DOMPIERRE-SUR-CHALARONNE,Maison,1552.9411764705883
01400,L'ABERGEMENT-CLEMENCIAT,Maison,1778.409090909091
01400,NEUVILLE-LES-DAMES,Appartement,1806.9626865671642
01400,NEUVILLE-LES-DAMES,Maison,2058.2533923666624
01400,ROMANS,Maison,2407.6530612244896
01400,SANDRANS,Appartement,1834.8623853211009
