Commune;Classement
FERMANVILLE;Mer
FLAMANVILLE;Mer
FONTENAY-SUR-MER;Mer
FOUCARVILLE;Mer
GATTEVILLE-LE-PHARE;Mer
GEFFOSSES;Mer
GENETS;Mer
GLATIGNY;Mer
GOUBERVILLE;Mer
GOUVILLE-SUR-MER;Mer
GRANVILLE;Mer
GREVILLE-HAGUE;Mer
HAUTEVILLE-SUR-MER;Mer
HEAUVILLE;Mer
HERQUEVILLE;Mer
HEUGUEVILLE-SUR-SIENNE;Mer
HUISNES-SUR-MER;Mer
JOBOURG;Mer
LESSAY;Mer
LESTRE;Mer
LINGREVILLE;Mer
MARCEY-LES-GREVES;Mer
MAUPERTUS-SUR-MER;Mer
LES MOITIERS-D'ALLONNE;Mer
MONTCHATON;Mer
MONTFARVILLE;Mer
MONTMARTIN-SUR-MER;Mer
LE MONT-SAINT-MICHEL;Mer
MORSALINES;Mer
NEVILLE-SUR-MER;Mer
OMONVILLE-LA-PETITE;Mer
OMONVILLE-LA-ROGUE;Mer
LES PIEUX;Mer
PIROU;Mer
PONTAUBAULT;Mer
PONTORSON;Mer
PORTBAIL;Mer
QUERQUEVILLE;Mer
QUETTEHOU;Mer
QUINEVILLE;Mer
RAVENOVILLE;Mer
REGNEVILLE-SUR-MER;Mer
RETHOVILLE;Mer
REVILLE;Mer
LE ROZEL;Mer
SAINT-GEORGES-DE-LA-RIVIERE;Mer
SAINT-GERMAIN-DES-VAUX;Mer
SAINT-GERMAIN-DE-VARREVILLE;Mer
SAINT-GERMAIN-SUR-AY;Mer
SAINT-JEAN-DE-LA-RIVIERE;Mer
SAINT-JEAN-LE-THOMAS;Mer
SAINT-Lï-D'OURVILLE;Mer
SAINT-MARCOUF;Mer
SAINTE-MARIE-DU-MONT;Mer
SAINT-MARTIN-DE-VARREVILLE;Mer
SAINT-PAIR-SUR-MER;Mer
SAINT-REMY-DES-LANDES;Mer
SAINT-VAAST-LA-HOUGUE;Mer
SIOUVILLE-HAGUE;Mer
SURTAINVILLE;Mer
SURVILLE;Mer
TOURLAVILLE;Mer
TOURVILLE-SUR-SIENNE;Mer
TREAUVILLE;Mer
URVILLE-NACQUEVILLE;Mer
VAINS;Mer
LE VAL-SAINT-PERE;Mer
VASTEVILLE;Mer
VAUVILLE;Mer
LES VEYS;Mer
AVRANCHES ;Mer
LA HAGUE;Mer
CHERBOURG-EN-COTENTIN;Mer
VICQ-SUR-MER;Mer
GOUVILLE-SUR-MER ;Mer
LA HAYE;Mer
ORVAL-SUR-SIENNE;Mer
PORT-BAIL-SUR-MER ;Mer
QUETTEHOU ;Mer
SAINTE-MERE-EGLISE ;Mer
AMBON;Mer
ARRADON;Mer
ARZON;Mer
AURAY;Mer
BADEN;Mer
BANGOR;Mer
BELZ;Mer
BILLIERS;Mer
BRECH;Mer
CARNAC;Mer
CAUDAN;Mer
CRACH;Mer
DAMGAN;Mer
ERDEVEN;Mer
ETEL;Mer
GAVRES;Mer
GROIX;Mer
GUIDEL;Mer
LE HEZO;Mer
HOEDIC;Mer
ILE-D'HOUAT;Mer
ILE-AUX-MOINES;Mer
ILE-D'ARZ;Mer
KERVIGNAC;Mer
LANDAUL;Mer
LANDEVANT;Mer
LANESTER;Mer
LARMOR-BADEN;Mer
LARMOR-PLAGE;Mer
LOCMARIA;Mer
LOCMARIAQUER;Mer
LOCMIQUELIC;Mer
LOCOAL-MENDON;Mer
LORIENT;Mer
MERLEVENEZ;Mer
MUZILLAC;Mer
NOSTANG;Mer
NOYALO;Mer
LE PALAIS;Mer
PENESTIN;Mer
PLOEMEUR;Mer
PLOUGOUMELEN;Mer
PLOUHARNEL;Mer
PLOUHINEC;Mer
PLUNERET;Mer
PORT-LOUIS;Mer
QUEVEN;Mer
QUIBERON;Mer
RIANTEC;Mer
SAINT-ARMEL;Mer
SAINT-GILDAS-DE-RHUYS;Mer
SAINTE-HELENE;Mer
SAINT-PHILIBERT;Mer
SAINT-PIERRE-QUIBERON;Mer
SARZEAU;Mer
SAUZON;Mer
SENE;Mer
SURZUR;Mer
THEIX;Mer
LE TOUR-DU-PARC;Mer
LA TRINITE-SUR-MER;Mer
VANNES;Mer
BONO;Mer
THEIX-NOYALO;Mer
BRAY-DUNES;Mer
DUNKERQUE;Mer
GHYVELDE;Mer
GRANDE-SYNTHE;Mer
GRAND-FORT-PHILIPPE;Mer
GRAVELINES;Mer
LEFFRINCKOUCKE;Mer
LOON-PLAGE;Mer
ZUYDCOOTE;Mer
AMBLETEUSE;Mer
AUDINGHEN;Mer
AUDRESSELLES;Mer
BERCK;Mer
BOULOGNE-SUR-MER;Mer
CALAIS;Mer
CAMIERS;Mer
CONCHIL-LE-TEMPLE;Mer
CUCQ;Mer
DANNES;Mer
EQUIHEN-PLAGE;Mer
ESCALLES;Mer
ETAPLES;Mer
GROFFLIERS;Mer
MARCK;Mer
MERLIMONT;Mer
NEUFCHATEL-HARDELOT;Mer
OYE-PLAGE;Mer
LE PORTEL;Mer
SAINT-ETIENNE-AU-MONT;Mer
SAINT-JOSSE;Mer
SANGATTE;Mer
TARDINGHEN;Mer
LE TOUQUET-PARIS-PLAGE;Mer
WABEN;Mer
WIMEREUX;Mer
WISSANT;Mer
ANGLET;Mer
BIARRITZ;Mer
BIDART;Mer
CIBOURE;Mer
GUETHARY;Mer
HENDAYE;Mer
SAINT-JEAN-DE-LUZ;Mer
URRUGNE;Mer
ARGELES-SUR-MER;Mer
BANYULS-SUR-MER;Mer
LE BARCARES;Mer
CANET-EN-ROUSSILLON;Mer
CERBERE;Mer
COLLIOURE;Mer
ELNE;Mer
PORT-VENDRES;Mer
SAINT-CYPRIEN;Mer
SAINT-HIPPOLYTE;Mer
SAINT-LAURENT-DE-LA-SALANQUE;Mer
SAINTE-MARIE;Mer
SAINT-NAZAIRE;Mer
SALSES-LE-CHATEAU;Mer
TORREILLES;Mer
BELLEVILLE-SUR-MER;Mer
BENOUVILLE;Mer
BERNEVAL-LE-GRAND;Mer
BIVILLE-SUR-MER;Mer
BRACQUEMONT;Mer
CAUVILLE-SUR-MER;Mer
CRIEL-SUR-MER;Mer
CRIQUEBEUF-EN-CAUX;Mer
DIEPPE;Mer
ELETOT;Mer
ETRETAT;Mer
FECAMP;Mer
FLOCQUES;Mer
GONFREVILLE-L'ORCHER;Mer
HAUTOT-SUR-MER;Mer
LE HAVRE;Mer
HEUQUEVILLE;Mer
INGOUVILLE;Mer
LES LOGES;Mer
MANNEVILLE-ES-PLAINS;Mer
OCTEVILLE-SUR-MER;Mer
OUDALLE;Mer
PALUEL;Mer
PENLY;Mer
LA POTERIE-CAP-D'ANTIFER;Mer
QUIBERVILLE;Mer
ROGERVILLE;Mer
SAINTE-ADRESSE;Mer
SAINT-AUBIN-SUR-MER;Mer
SAINT-JOUIN-BRUNEVAL;Mer
SAINT-LEONARD;Mer
SAINTE-MARGUERITE-SUR-MER;Mer
SAINT-MARTIN-AUX-BUNEAUX;Mer
SAINT-MARTIN-EN-CAMPAGNE;Mer
SAINT-PIERRE-EN-PORT;Mer
SAINT-SYLVAIN;Mer
SAINT-VALERY-EN-CAUX;Mer
SAINT-VIGOR-D'YMONVILLE;Mer
SANDOUVILLE;Mer
SASSETOT-LE-MAUCONDUIT;Mer
SENNEVILLE-SUR-FECAMP;Mer
SOTTEVILLE-SUR-MER;Mer
LE TILLEUL;Mer
TOCQUEVILLE-SUR-EU;Mer
LE TREPORT;Mer
VARENGEVILLE-SUR-MER;Mer
VATTETOT-SUR-MER;Mer
VEULES-LES-ROSES;Mer
VEULETTES-SUR-MER;Mer
YPORT;Mer
PETIT-CAUX;Mer
AULT;Mer
BOISMONT;Mer
CAYEUX-SUR-MER;Mer
LE CROTOY;Mer
FAVIERES;Mer
FORT-MAHON-PLAGE;Mer
LANCHERES;Mer
MERS-LES-BAINS;Mer
NOYELLES-SUR-MER;Mer
PENDE;Mer
PONTHOILE;Mer
QUEND;Mer
SAINT-QUENTIN-EN-TOURMONT;Mer
SAINT-QUENTIN-LA-MOTTE-CROIX-AU-BAILLY;Mer
SAINT-VALERY-SUR-SOMME;Mer
WOIGNARUE;Mer
BANDOL;Mer
BORMES-LES-MIMOSAS;Mer
CARQUEIRANNE;Mer
CAVALAIRE-SUR-MER;Mer
COGOLIN;Mer
LA CROIX-VALMER;Mer
FREJUS;Mer
LA GARDE;Mer
GASSIN;Mer
GRIMAUD;Mer
HYERES;Mer
LE LAVANDOU;Mer
LA LONDE-LES-MAURES;Mer
OLLIOULES;Mer
LE PRADET;Mer
RAMATUELLE;Mer
ROQUEBRUNE-SUR-ARGENS;Mer
SAINT-CYR-SUR-MER;Mer
SAINTE-MAXIME;Mer
SAINT-RAPHAèL;Mer
SAINT-TROPEZ;Mer
SANARY-SUR-MER;Mer
LA SEYNE-SUR-MER;Mer
SIX-FOURS-LES-PLAGES;Mer
TOULON;Mer
RAYOL-CANADEL-SUR-MER;Mer
SAINT-MANDRIER-SUR-MER;Mer
L'AIGUILLON-SUR-MER;Mer
BARBATRE;Mer
LA BARRE-DE-MONTS;Mer
BEAUVOIR-SUR-MER;Mer
BOUIN;Mer
BRETIGNOLLES-SUR-MER;Mer
CHAMPAGNE-LES-MARAIS;Mer
